Invoice,Processing Method,Invoice Number,Invoice Date,Seller Tax ID,Client Tax ID,Seller IBAN,Net Worth,VAT,Gross Worth,OCR Confidence,Validation Status,Manual Review,Review Reason,Processing Time (seconds)
invoice_001.jpg,Threshold,51109338,04/13/2013,945-82-2137,942-80-0517,GB75MCRL06841367619257,5640.17,564.02,6204.19,91.7,AUTO ACCEPT,NO,All benchmark fields present,3.265
invoice_002.jpg,Threshold,78605417,08/07/2017,909-73-7194,940-87-7017,GB17WVTT56005535188252,656.46,65.65,722.11,89.04,AUTO ACCEPT,NO,All benchmark fields present,3.154
invoice_003.jpg,Threshold,94786467,11/19/2013,936-70-6673,919-88-4424,GB18QZIH77960348255932,7708.25,770.83,8479.08,91.16,AUTO ACCEPT,NO,All benchmark fields present,6.008
invoice_004.jpg,Threshold,53553822,07/24/2012,926-74-9803,935-94-0783,GB21NRBX59248288874823,23399.04,2339.90,25738.94,92.56,AUTO ACCEPT,NO,All benchmark fields present,5.304
invoice_005.jpg,Threshold,26700559,01/11/2018,974-76-2764,958-82-3330,GB35YDNN61347660277835,311.70,31.17,342.87,93.94,AUTO ACCEPT,NO,All benchmark fields present,5.224
invoice_006.jpg,Threshold,96947403,10/09/2011,944-92-0144,985-88-9141,GB67TUVG95262505800602,481.62,48.16,529.78,94.19,AUTO ACCEPT,NO,All benchmark fields present,5.467
invoice_007.jpg,Threshold,24342647,05/07/2020,933-70-8828,910-72-5904,,4112.98,411.30,4524.28,91.53,MANUAL REVIEW,YES,Missing: Seller IBAN,5.28
invoice_008.jpg,Threshold,76778037,03/15/2021,962-88-2450,910-87-8964,GB84DBNV37102667540169,690.03,69.00,759.03,93.83,AUTO ACCEPT,NO,All benchmark fields present,4.919
invoice_009.jpg,Threshold,34967709,01/16/2018,913-91-8891,995-75-2976,GB47XEBQ87721203651804,499.98,50.00,549.98,94.01,AUTO ACCEPT,NO,All benchmark fields present,4.909
invoice_010.jpg,Threshold,12323459,08/04/2013,902-87-8627,960-94-6747,GB33EMHE63462278604328,74.25,7.43,81.68,90.7,AUTO ACCEPT,NO,All benchmark fields present,4.884
invoice_011.jpg,Threshold,37107781,07/29/2012,946-73-8252,994-84-0379,GB30TGFD70872253743837,2549.93,254.99,2804.92,91.32,AUTO ACCEPT,NO,All benchmark fields present,5.182
invoice_012.jpg,Threshold,86736203,05/20/2013,968-98-6433,987-91-1452,,14158.28,1415.83,15574.11,93.48,MANUAL REVIEW,YES,Missing: Seller IBAN,6.194
invoice_013.jpg,Threshold,69875170,07/18/2014,984-82-1277,988-79-9604,GB63MNKB15123766783579,176837.91,17683.79,194521.70,91.56,AUTO ACCEPT,NO,All benchmark fields present,5.699
invoice_014.jpg,Threshold,35593328,,942-92-5992,,,2731.78,273.18,3004.96,49.64,MANUAL REVIEW,YES,"Missing: Invoice Date, Client Tax ID, Seller IBAN",5.444
invoice_015.jpg,Threshold,74980573,09/27/2015,944-98-4907,901-84-6442,,173.87,17.39,191.26,94.43,MANUAL REVIEW,YES,Missing: Seller IBAN,5.253
invoice_016.jpg,Threshold,37060863,01/30/2021,964-80-9962,953-87-7430,GB79IBVF13930075179399,1838.93,183.89,2022.82,93.16,AUTO ACCEPT,NO,All benchmark fields present,5.52
invoice_017.jpg,Threshold,61669642,11/12/2013,940-76-9247,909-87-3064,GB89DNYK55635059269556,137.62,13.76,151.38,93.37,AUTO ACCEPT,NO,All benchmark fields present,2.343
invoice_018.jpg,Threshold,60456703,09/01/2016,970-94-1776,991-84-7712,,339.98,34.00,373.98,70.23,MANUAL REVIEW,YES,Missing: Seller IBAN,2.671
invoice_019.jpg,Threshold,97388190,12/13/2016,912-83-9339,986-76-0381,GB36VWDA36824721563097,299.85,29.99,329.84,92.91,AUTO ACCEPT,NO,All benchmark fields present,3.53
invoice_020.jpg,Threshold,10942693,06/13/2018,922-83-3513,947-74-2259,GB76CSSR03453199859434,19228.78,1922.88,21151.66,90.8,AUTO ACCEPT,NO,All benchmark fields present,5.376
invoice_021.jpg,Threshold,20434959,12/20/2011,932-75-6582,940-95-1310,GB35IHYS72111215388563,26.97,2.70,29.67,94.02,AUTO ACCEPT,NO,All benchmark fields present,5.439
invoice_022.jpg,Threshold,58379529,05/31/2011,944-77-4530,913-94-1721,,2667.91,266.79,2934.70,88.26,MANUAL REVIEW,YES,Missing: Seller IBAN,5.395
invoice_023.jpg,Threshold,54661411,07/29/2020,928-97-0774,913-98-4271,GB34CHOA94863267286764,7200.53,720.05,7920.58,91.6,AUTO ACCEPT,NO,All benchmark fields present,5.637
invoice_024.jpg,Threshold,32830026,12/20/2014,907-77-8965,995-83-6792,GB810UZN44807763808287,1036.58,103.66,1140.24,89.14,AUTO ACCEPT,NO,All benchmark fields present,5.266
invoice_025.jpg,Threshold,44848471,03/26/2021,902-74-7536,913-71-7249,GB89NZLM61247862676381,762.44,76.24,838.68,92.14,AUTO ACCEPT,NO,All benchmark fields present,4.234
invoice_026.jpg,Threshold,51295021,01/05/2017,922-88-3881,965-87-8819,GB64NDCS47020318571282,8415.08,841.51,9256.59,91.08,AUTO ACCEPT,NO,All benchmark fields present,4.74
invoice_027.jpg,Threshold,22083742,03/01/2014,902-72-8574,934-70-6847,GB62IACN00896958403438,7200.00,720.00,7920.00,87.29,AUTO ACCEPT,NO,All benchmark fields present,2.399
invoice_028.jpg,Threshold,98858130,01/28/2021,969-72-5121,941-88-5692,,401.88,40.19,442.07,93.41,MANUAL REVIEW,YES,Missing: Seller IBAN,2.744
invoice_029.jpg,Threshold,65028137,01/03/2014,944-72-9866,988-84-2952,GB10AMVD30795287137531,89.95,9.00,98.95,94.16,AUTO ACCEPT,NO,All benchmark fields present,2.69
invoice_030.jpg,Threshold,15001300,02/18/2014,929-82-4759,991-91-7229,GB32MKCO74382010852522,297.35,29.73,327.08,92.64,AUTO ACCEPT,NO,All benchmark fields present,4.871
invoice_031.jpg,Threshold,33102457,09/18/2018,937-81-0462,974-83-3645,GB42MQKW89908599665710,16619.31,1661.93,18281.24,93.2,AUTO ACCEPT,NO,All benchmark fields present,3.785
invoice_032.jpg,Threshold,37877758,07/02/2014,945-75-6162,953-92-4049,GB81XDRW19367191324873,43018.47,4301.85,47320.32,91.29,AUTO ACCEPT,NO,All benchmark fields present,4.83
invoice_033.jpg,Threshold,96430839,01/13/2019,971-80-5191,934-91-7455,,4507.42,450.74,4958.16,89.52,MANUAL REVIEW,YES,Missing: Seller IBAN,4.315
invoice_034.jpg,Threshold,56908352,01/11/2015,914-76-8473,904-76-9217,GB68RRBM34982962207975,171.01,17.10,188.11,92.91,AUTO ACCEPT,NO,All benchmark fields present,4.237
invoice_035.jpg,Threshold,36187296,01/05/2017,951-73-0229,966-84-8472,GB480UAZ93098629612648,471.64,47.16,518.80,93.3,AUTO ACCEPT,NO,All benchmark fields present,4.189
invoice_036.jpg,Threshold,44456646,03/21/2015,916-98-8677,940-84-8016,GB48PIBU37974446029688,287.36,28.74,316.10,73.83,AUTO ACCEPT,NO,All benchmark fields present,4.925
invoice_037.jpg,Threshold,46506594,03/12/2012,929-76-1260,940-86-9734,GB49GJRS28729607733931,1335.86,133.59,1469.45,93.13,AUTO ACCEPT,NO,All benchmark fields present,4.169
invoice_038.jpg,Threshold,77596491,01/31/2021,988-83-0971,926-85-5660,,22.68,2.27,24.95,67.1,MANUAL REVIEW,YES,Missing: Seller IBAN,4.249
invoice_039.jpg,Threshold,68688408,03/20/2016,953-84-2239,904-82-9186,GB84XSNO58142814072766,82.97,8.30,91.27,92.73,AUTO ACCEPT,NO,All benchmark fields present,4.032
invoice_040.jpg,Threshold,57986024,10/17/2015,959-72-2889,907-74-8078,,215.72,21.57,237.29,93.64,MANUAL REVIEW,YES,Missing: Seller IBAN,4.554
invoice_041.jpg,Threshold,11580833,11/24/2019,968-86-1662,979-96-3992,GB61VHVS67246807986062,4671.23,467.12,5138.35,91.39,AUTO ACCEPT,NO,All benchmark fields present,4.899
invoice_042.jpg,Threshold,13407985,,,,,4963.41,496.34,5459.75,45.09,MANUAL REVIEW,YES,"Missing: Invoice Date, Seller Tax ID, Client Tax ID, Seller IBAN",4.121
invoice_043.jpg,Threshold,99314100,06/25/2014,993-76-1179,908-81-7850,GB20WFQR49970703277369,5975.75,597.58,6573.33,91.59,AUTO ACCEPT,NO,All benchmark fields present,3.871
invoice_044.jpg,Threshold,81978187,01/17/2013,922-87-4664,,GB91VPMR74805066714957,113.45,11.34,124.79,91.07,MANUAL REVIEW,YES,Missing: Client Tax ID,3.993
invoice_045.jpg,Threshold,74589240,12/08/2013,977-76-9492,981-73-4585,GB51FSWB55572342266497,11794.44,1179.44,12973.88,92.43,AUTO ACCEPT,NO,All benchmark fields present,4.301
invoice_046.jpg,Threshold,72128555,12/25/2013,905-82-5399,917-86-7656,GB71QMAA96406297569205,665.76,66.58,732.34,94.27,AUTO ACCEPT,NO,All benchmark fields present,4.236
invoice_047.jpg,Threshold,89969473,10/29/2016,972-82-0713,944-77-3882,GB71GBDG68039919194335,725.37,72.54,797.91,92.31,AUTO ACCEPT,NO,All benchmark fields present,3.912
invoice_048.jpg,Threshold,16273983,04/01/2017,909-83-7738,901-88-0463,GB96VWUL52026848004193,744.60,74.46,819.06,94.1,AUTO ACCEPT,NO,All benchmark fields present,3.336
invoice_049.jpg,Threshold,19471831,04/09/2014,924-71-1106,922-72-5979,,40677.81,4067.78,44745.59,91.92,MANUAL REVIEW,YES,Missing: Seller IBAN,3.044
invoice_050.jpg,Threshold,12847181,03/03/2012,998-99-5253,911-82-7132,GB92PBPQ73499358975916,6236.77,623.68,6860.45,94.15,AUTO ACCEPT,NO,All benchmark fields present,3.248
